,IN,NOTIN
0,Argentina,North Korea
1,Australia,Cote
2,Brazil,
3,Chile,
4,China,
5,Portugal,
6,Zimbabwe,
7,Canada,
8,Cuba,
9,Indonesia,
10,Madagascar,
11,Morocco,
12,Papua New Guinea,
13,Philippines,
14,Russia,
15,India,
16,Mozambique,
17,Norway,
18,Sri Lanka,
19,Ukraine,
20,Vietnam,
21,Gabon,
22,Ghana,
23,Malaysia,
24,South Africa,
25,Belgium,
26,Germany,
27,Japan,
28,Netherlands,
29,Hungary,
30,Poland,
31,Democratic Republic of the Congo,
32,United States,
33,South Korea,
